# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
APH      2024 InterestExpenseNonoperating                         217.0     +   no        217.0        217.0       217.0        6484.4   1893      -          0.0         0
APH      2025 InterestExpenseNonoperating                         367.8     +   no        367.8        367.8       367.8       14564.8   2313      -          0.0         0
EME      2008 InterestExpense                                      11.8     +   no         11.8         11.8        11.8        absent   3500      -          0.0         0
EME      2009 InterestExpense                                       7.9     +   no          7.9          7.9         7.9        absent   3500      -          0.0         0
EME      2010 InterestExpense                                      12.2     +   no         12.2         12.2        12.2        absent   3500      -          0.0         0
EME      2011 InterestExpense                                      11.3     +   no         11.3         11.3        11.3         154.9   3500      -          0.0         0
EME      2012 InterestExpense                                       7.3     +   no          7.3          7.3         7.3         155.9   3500      -          0.0         0
EME      2013 InterestExpense                                       8.8     +   no          8.8          8.8         8.8         354.7   3500      -          0.0         0
EME      2014 InterestExpense                                       9.1     +   no          9.1          9.1         9.1         335.4   3500      -          0.0         0
EME      2015 InterestExpense                                       8.9     +   no          8.9          8.9         8.9         318.9   3500      -          0.0         0
EME      2016 InterestExpense                                      12.6     +   no         12.6         12.6        12.6         423.3   3500      -          0.0         0
